title,company_name,location,via,date_time,salary_standardized,description_tokens
Sr Provider Data Analyst - Remote ($27.07 - $53.08 / hour),Talentify.io,Anywhere,via LinkedIn,2023-05-15 03:00:19.690509,,"communication, problem solving, sharepoint, excel, collaboration, flexibility"
Senior Healthcare Data Analyst,Storm3,Anywhere,via LinkedIn,2022-11-10 04:00:21.126447,,"vba, java, r, python, excel, jupyter, sql, c, spss"
Professional Data Analyst,Gainwell Technologies,Anywhere,via LinkedIn,2023-01-05 04:00:41.000658,,"communication, collaboration, flexibility"
Senior Operations and Analytics Analyst,AuditBoard,Anywhere,via LinkedIn,2023-05-07 03:00:20.253098,,"communication, tableau, critical thinking, interpersonal skills, sql"
Data Analyst / Data Scientist,Hays,Anywhere,via LinkedIn,2022-11-08 06:00:12.397936,,"problem solving, spark, tableau, critical thinking, r, excel, hadoop, accountability, python"
EDI Integration Data Analyst,Versant Health,Anywhere,via LinkedIn,2022-11-15 04:01:07.264897,,"communication, sql, accountability, collaboration"
Bravo-Sr Data Analyst - Remote,Talentify.io,Anywhere,via LinkedIn,2022-11-04 03:40:28.890334,,"azure, aurora, power bi, postgresql, tableau, r, aws, sql, python, snowflake, alteryx"
Market Research Data Analyst,Suzy,Anywhere,via LinkedIn,2023-04-08 03:00:28.195489,,"excel, integrity"
Senior Healthcare Data Analyst - REMOTE ($87447.00 - $125689.00 ...,Talentify.io,Anywhere,via LinkedIn,2023-05-15 03:00:19.690509,,"communication, problem solving, tableau, sql"
Junior Data Engineer (Remote),Talentify.io,Anywhere,via LinkedIn,2023-05-15 03:00:27.207023,,"data lake, tableau, aws, qlik, sql, pandas, redshift, scikit-learn, ssis, collaboration"
Data Analyst 2,RVO Health,Anywhere,via LinkedIn,2022-11-05 05:00:27.761334,,"sql, integrity, problem solving"
Sr Data Warehouse Analyst (Remote),Carnival Cruise Line,Anywhere,via LinkedIn,2022-11-05 05:00:36.405833,,"communication, pl/sql, sas, tableau, sql, integrity, unix, snowflake"
Data Analyst - (Remote - US),Mediavine,Anywhere,via LinkedIn,2022-11-09 04:00:09.504265,,"machine learning, power bi, looker, tableau, motivation, r, sql, redshift, python, snowflake"
"Sr Analyst, Data Solution Analyst (Remote)",Nationwide,Anywhere,via LinkedIn,2022-11-10 04:00:26.824022,,"communication, machine learning, tableau, r, aws, sql, python"
Data Analyst,ZOLL Data Systems,Anywhere,via LinkedIn,2022-11-12 04:00:16.994087,,"r, python, power bi, tableau, no-sql, gdpr, sql, collaboration"
Customer Success Data Analyst,Billtrust,Anywhere,via LinkedIn,2022-11-20 04:00:37.467426,,"communication, power bi, learning agility, excel, sql, accountability"
"Data Analyst, Blockchain Intelligence",TRM Labs,Anywhere,via LinkedIn,2022-11-22 04:00:18.617973,,"communication, adaptability, sql, integrity, python, git"
"Data Analyst , Quality - Remote",Talentify.io,Anywhere,via LinkedIn,2022-11-04 03:40:23.706734,,integrity
Senior Data Analyst - Remote - USA,Talentify.io,Anywhere,via LinkedIn,2022-11-18 04:00:17.393768,,"azure, javascript, sql, ruby"
Principal Data Scientist,Best Egg,Anywhere,via LinkedIn,2022-12-12 04:00:30.196999,,"communication, machine learning, problem solving, tensorflow, sql, python, git, keras"
"Senior Data Analyst, Product Growth",Loom,Anywhere,via LinkedIn,2022-12-14 04:00:42.549673,,"communication, tableau, airflow, r, go, postgres, sql, python, snowflake, flexibility"
Data Governance Analyst,Sogeti,Anywhere,via LinkedIn,2022-12-15 04:00:28.708531,,collaboration
Data Analyst - Growth Marketing,Curology,Anywhere,via LinkedIn,2022-12-15 04:00:36.545623,,"communication, critical thinking, sql, python"
Data Scientist,TRM Labs,Anywhere,via LinkedIn,2023-01-03 04:00:27.497563,,"communication, machine learning, spark, adaptability, sql, integrity, python, git"
Data Analyst - Growth Marketing,Curology,Anywhere,via LinkedIn,2023-01-06 04:00:45.439284,,"communication, critical thinking, sql, python"
Data Analyst,GPRS,Anywhere,via LinkedIn,2023-01-11 04:00:38.623855,,"power bi, critical thinking, teamwork, excel, sql, integrity, decision making"
"Senior Data Analyst, Research and Development",Kemper,Anywhere,via LinkedIn,2023-01-12 04:00:34.075197,,"sas, tableau, excel, sql"
Reporting Data Analyst,Exos,Anywhere,via LinkedIn,2023-01-21 04:00:48.660765,,"communication, problem solving, looker, tableau, critical thinking, integrity, presentation skills"
Staff Data Scientist,Apartment List,Anywhere,via LinkedIn,2023-01-21 04:01:10.857894,,"machine learning, gcp, sql, python"
"Sales Operations Data Analyst, Associate- Summer 2023",Sprinklr,Anywhere,via LinkedIn,2023-02-05 04:00:33.820985,,"communication, power bi, bigquery, javascript, tableau, mysql, r, excel, decision making, python, snowflake, collaboration"
"Data Scientist, Marketing","FourKites, Inc.",Anywhere,via LinkedIn,2023-02-11 04:00:42.427841,,"power bi, machine learning, tableau, excel, sql, empathy, python"
Analyst- Energy Data Validation,CPower Energy,Anywhere,via LinkedIn,2023-02-16 04:01:40.582915,,"communication, word, power bi, vba, r, excel, sql, outlook, presentation skills, python"
Data Analyst,Net Conversion,Anywhere,via LinkedIn,2023-02-25 04:00:37.423822,,"communication, tableau, spreadsheet, bigquery, excel, sql, problem solving, power bi"
Senior Data Analyst,Vouch Insurance,Anywhere,via LinkedIn,2023-02-25 04:00:41.276043,,"communication, problem solving, looker, initiative, tableau, r, go, sql, empathy, python, collaboration"
Informaticist/Data Analyst,Integra Connect,Anywhere,via LinkedIn,2023-03-01 04:00:17.052118,,"communication, sas, tableau, excel, sql, decision making"
Informaticist/Data Analyst,Integra Connect,Anywhere,via LinkedIn,2023-03-01 04:00:24.909355,,"communication, sas, tableau, excel, sql, decision making"
Informaticist/Data Analyst,Integra Connect,Anywhere,via LinkedIn,2023-03-25 03:00:48.797141,,"communication, sas, tableau, excel, sql, decision making"
Clinical Data Analyst,BayCare Health System,Anywhere,via LinkedIn,2023-04-19 03:00:11.155335,,"communication, interpersonal skills, excel, word, critical thinking, powerpoint"
Remote Credit Risk Data Analyst ($110000.00 - $130000.00 / year),Talentify.io,Anywhere,via LinkedIn,2023-04-29 03:00:24.772793,,"problem solving, numpy, tableau, r, aws, sql, pandas, strategic thinking, python"
Sr Business Data Analyst,EBSCO Information Services,Anywhere,via LinkedIn,2023-05-02 03:00:37.970565,,"time management, communication, tableau, excel, sql, strategic thinking"
Lead II - Data Analysis,UST,Anywhere,via LinkedIn,2023-05-04 03:01:00.694665,,"word, visio, excel, integrity, powerpoint"
Data Analyst,RSEE Technologies,Anywhere,via LinkedIn,2022-11-08 06:00:16.168218,,"sql, pl/sql, excel"
"Data Analyst, Analytic Operations (Remote)",Talentify.io,Anywhere,via LinkedIn,2022-11-13 04:00:09.363159,,"communication, python, sql, integrity, redshift"
"Senior Data Analyst, Retail Analytics - Virtual",Talentify.io,Anywhere,via LinkedIn,2022-11-16 04:00:30.031546,,"communication, tableau, teamwork, sql"
Data Analyst - Remote,Talentify.io,Anywhere,via LinkedIn,2022-11-20 04:00:09.507061,,"sql, pandas, integrity, python, snowflake, flexibility"
Data Analyst - Remote,Talentify.io,Anywhere,via LinkedIn,2022-11-20 04:00:15.147019,,"sql, pandas, integrity, python, snowflake, flexibility"
Data Analyst - 99% Remote,Talentify.io,Anywhere,via LinkedIn,2022-11-22 04:00:11.811065,,"azure, python, power bi, sql, spark"
DATA GOVERNANCE  ANALYST w/INFORMATICA EXPERIENCE,"Business Advisory Solutions Group, LLC",Anywhere,via LinkedIn,2022-12-02 04:00:17.016139,,integrity
"Senior Data Analyst, Customer Excellence",Promethean,Anywhere,via LinkedIn,2022-12-15 04:00:36.545623,,"communication, power bi, tableau, creativity, r, go, sql, cognos, python"
Data Analyst,Agility Partners,Anywhere,via LinkedIn,2022-12-16 04:00:08.499485,,"communication, power bi, excel, critical thinking, powerpoint"
"Data Analyst, Forbes Vetted",Forbes,Anywhere,via LinkedIn,2022-12-17 04:00:31.606495,,"looker, excel, flexibility"
Senior Data Analyst - Remote,Talentify.io,Anywhere,via LinkedIn,2022-12-26 04:00:08.249523,,"tableau, integrity, flexibility"
Senior Data Analyst,Zipline,Anywhere,via LinkedIn,2022-12-31 04:00:23.028960,,"communication, matplotlib, spark, looker, numpy, tableau, airflow, sql, pandas, integrity, decision making, python"
"Data Analyst, Forbes Vetted",Forbes,Anywhere,via LinkedIn,2023-01-07 04:00:57.555995,,"looker, excel, flexibility"
AWS Data Lake Engineer,RVCM (RevaComm),Anywhere,via LinkedIn,2023-01-10 04:00:47.667666,,"aws, python, data lakes, snowflake, sql, data lake"
Marketing Data Analyst - Marketo/Salesforce,Semperis,Anywhere,via LinkedIn,2023-01-24 04:01:15.490415,,"time management, power bi, excel, integrity"
Data Quality Analyst,StevenDouglas,Anywhere,via LinkedIn,2023-01-25 04:00:59.646693,,"azure, power bi, ssrs, ssis, sql, integrity"
Data Analyst (Remote),Epsilon,Anywhere,via LinkedIn,2023-01-26 04:00:11.019842,,"communication, initiative, tableau, r, sql, integrity, python, data lakes"
Sr. Business Intelligence Analyst (Remote - US Only),Apollo.io,Anywhere,via LinkedIn,2023-02-05 04:00:33.820985,,"c, looker, sql, decision making, python, snowflake"
Data Quality Analyst,StevenDouglas,Anywhere,via LinkedIn,2023-02-11 04:00:41.132149,,"azure, power bi, ssrs, ssis, sql, integrity"
Data Analyst (Remote) (Flexible),Talentify.io,Anywhere,via LinkedIn,2023-03-20 03:00:13.014151,,atlassian
Data Analyst IV - (100% Remote),Talentify.io,Anywhere,via LinkedIn,2023-03-24 03:00:24.309597,,"collaboration, decision making"
"Fulltime-Functional Data Analyst : Tampa FL/Irving, TX (Initial 1...",Talentify.io,Anywhere,via LinkedIn,2023-03-24 03:00:26.276902,,"communication, sql"
Data Intelligence,Trace3,Anywhere,via LinkedIn,2023-03-24 03:01:30.594112,,go
Data Quality Analyst,StevenDouglas,Anywhere,via LinkedIn,2023-04-05 03:01:08.121633,,"azure, power bi, ssrs, ssis, sql, integrity"
Research Data Analyst - Hybrid/Remote - 121365,Talentify.io,Anywhere,via LinkedIn,2023-04-12 03:00:11.221255,,
Data Quality Analyst,StevenDouglas,Anywhere,via LinkedIn,2023-04-19 03:00:19.678694,,"azure, power bi, ssrs, ssis, sql, integrity"
Medicare STARS Pharmacy Sr Data Analyst - Remote ($85000.00 ...,Talentify.io,Anywhere,via LinkedIn,2023-04-22 03:00:17.813728,,"power bi, sas, tableau, ssrs, excel, sql, accountability, flexibility"
Data and Compliance Specialist,The Doula Network,Anywhere,via LinkedIn,2023-04-26 03:00:38.134283,,communication
"Lead Analyst, Data Services (Virtual)",Talentify.io,Anywhere,via LinkedIn,2023-04-27 03:00:30.603800,,"teamwork, sql, hadoop, decision making"
Medicare STARS Pharmacy Sr Data Analyst - Remote ($85000.00 ...,Talentify.io,Anywhere,via LinkedIn,2023-05-02 03:00:25.430421,,"power bi, sas, tableau, ssrs, excel, sql, accountability, flexibility"
Medicare STARS Pharmacy Sr Data Analyst - Remote ($85000.00 ...,Talentify.io,Anywhere,via LinkedIn,2023-05-03 03:00:35.938848,,"power bi, sas, tableau, ssrs, excel, sql, accountability, flexibility"
Senior Data Analyst - Digital Finance (Remote),Talentify.io,Anywhere,via LinkedIn,2023-05-04 03:00:48.713972,,"looker, tableau"
Senior Data Analyst - Digital Finance (Remote),Talentify.io,Anywhere,via LinkedIn,2023-05-04 03:00:59.351087,,"looker, tableau"
Operations Center Data Analyst (Night Shift - Remote or Hybrid...,Talentify.io,Anywhere,via LinkedIn,2023-05-05 03:01:16.034423,,"sql, python"
Data System Analyst,ApTask,Anywhere,via LinkedIn,2023-05-18 04:01:23.661103,,"python, gcp, sql"
Claims Data Analyst I - Remote,Talentify.io,Anywhere,via LinkedIn,2023-04-01 03:00:09.504741,,"word, initiative, tableau, visio, sharepoint, excel, sql, accountability, integrity, flexibility"
Data & Analytics Solution Lead – Banking & Financial Services,Persistent Systems,Anywhere,via LinkedIn,2023-04-18 03:00:40.881912,,"communication, machine learning, javascript, sql, python"
eCommerce Data Analyst | $110K-$130K + Benefits | 100% USA-Remote...,Talentify.io,Anywhere,via LinkedIn,2023-05-07 03:00:11.088703,,"communication, sql, patience"
eCommerce Data Analyst | $110K-$130K + Full Benefits | 100...,Talentify.io,Anywhere,via LinkedIn,2023-05-12 03:00:11.308246,,"communication, sql, patience"
Salesforce Data Analyst,FinThrive,Anywhere,via LinkedIn,2023-03-09 04:00:24.496265,,"communication, c, detail oriented, sharepoint, excel, integrity"
Salesforce Data Analyst,FinThrive,Anywhere,via LinkedIn,2023-03-09 04:00:26.517842,,"communication, c, detail oriented, sharepoint, excel, integrity"
SR. DATA ANALYST (REMOTE NATIONWIDE),Talentify.io,Anywhere,via LinkedIn,2023-05-05 03:01:23.196853,,"communication, spark, power bi, looker, tableau, airflow, aws, sql, python, snowflake, sap"
Senior Data Analyst,Finexio,Anywhere,via LinkedIn,2022-11-11 04:00:15.814908,,"power bi, looker, sql, python, flexibility"
Senior Data Analyst - Marketing,Kajabi,Anywhere,via LinkedIn,2023-01-05 04:00:37.790335,,"machine learning, looker, r, sql, python, snowflake"
Senior Data Analyst - Marketing,Kajabi,Anywhere,via LinkedIn,2023-01-05 04:00:39.627872,,"machine learning, looker, r, sql, python, snowflake"
"Data Engineer I, Data Analytics",FiscalNote,Anywhere,via LinkedIn,2023-01-07 04:01:01.692677,,"spark, looker, tableau, motivation, r, aws, sql, integrity, redshift, decision making, python, snowflake"
"Medical Claims Data Analyst (100% remote in USA, Independent...",LARVOL,Anywhere,via LinkedIn,2022-11-13 04:00:13.090936,,"r, sas, python, sql, flexibility"
Online Data Analyst - Czech,TELUS International,Anywhere,via LinkedIn,2022-12-03 04:00:59.719398,,"go, initiative, machine learning"
"Clinical Data Analyst, Registry (Part-Time, Remote)",Talentify.io,Anywhere,via LinkedIn,2022-12-16 04:00:15.428650,,communication
Freelance Data Analyst,Appen,Anywhere,via LinkedIn,2023-01-05 04:00:15.895681,,
Freelance Data Analyst,Appen,Anywhere,via LinkedIn,2023-02-14 04:00:13.373075,,
Data Analyst,Appen,Anywhere,via LinkedIn,2023-03-03 04:00:08.271020,,
"Clinical Data Analyst, Registry (Part-Time, Remote)",Talentify.io,Anywhere,via LinkedIn,2023-03-17 03:00:27.878558,,communication
"Clinical Data Analyst, Registry (Part-Time, Remote)",Talentify.io,Anywhere,via LinkedIn,2023-04-03 03:00:16.509234,,communication
Data Engineering Tech Lead,Mamsys World,Anywhere,via LinkedIn,2022-11-08 06:00:38.573547,,"aws, communication, snowflake, data lake"
Data Scientist,Compunnel Inc.,Anywhere,via LinkedIn,2022-11-24 04:00:21.685014,,"r, python, azure, power bi, git, scikit-learn, pandas, critical thinking, pytorch, keras, pyspark, flexibility"
Data Analyst,SoftStandard Solutions,Anywhere,via LinkedIn,2022-12-13 04:00:13.661146,,"communication, hadoop, jira"
Senior Big data Hadoop with Java and Spark (W2/FTE/1099),Avance Consulting,Anywhere,via LinkedIn,2022-12-17 04:00:23.714255,,"java, scala, hadoop, spark"
Azure Data Engineer,Prowess Software Services,Anywhere,via LinkedIn,2022-12-22 04:00:42.190308,,"communication, python, azure, snowflake, pl/sql"
Data Analysts & Scientists and Machine Learning Engineers,Eliassen Group,Anywhere,via LinkedIn,2023-01-24 04:01:13.856219,,"r, python, machine learning, sql"
Senior Data Analyst,Youngsoft Inc,Anywhere,via LinkedIn,2023-02-11 04:00:36.927315,,"tableau, sql, critical thinking, integrity"
"BI Data Analyst (Compunnels W2""NO C2C"")(7+ Years ONLY)",Compunnel Inc.,Anywhere,via LinkedIn,2023-02-15 04:00:24.015540,,"java, aws, python, azure, mongodb, node.js, splunk, aurora, nosql, docker"
Data Analyst (Remote),Allnessjobs,Anywhere,via LinkedIn,2023-02-18 04:00:08.680743,,"communication, tableau, excel, sql, power bi"
Data Analyst,Mican Technologies Inc.,Anywhere,via LinkedIn,2023-02-25 04:00:09.145572,,"initiative, critical thinking, problem solving"
Data Analyst,Deleted Page,Anywhere,via LinkedIn,2023-03-10 04:00:08.556784,,"communication, azure, power bi, dax, sql, integrity"
"Business Data Analyst - Consumer Products, Supply Chain, Data...",EVERSANA,Anywhere,via LinkedIn,2023-04-14 03:00:17.689542,,"empathy, r, communication, python, azure, spreadsheet, excel, machine learning, jira"
Business Analyst - Quant Data (remote),"Software Guidance & Assistance, Inc. (SGA, Inc.)",Anywhere,via LinkedIn,2023-04-21 03:00:09.189670,,"sql, integrity"
Senior Data Analyst,Cloud and Things,Anywhere,via LinkedIn,2023-04-28 03:00:18.081594,,"time management, aws, communication, python, snowflake, machine learning, pytorch, redshift, spark, tensorflow"
Solix Data Archival Lead,IT Trailblazers LLC,Anywhere,via LinkedIn,2023-05-18 04:01:02.550562,,"communication, sql, integrity, sap"
Morpheus Data Administration,Lorven Technologies Inc.,Anywhere,via LinkedIn,2023-05-18 04:01:13.333604,,
SENIOR DATA ANALYST - CLT/REMOTE ($65000.00 - $80000.00 / year),Talentify.io,Anywhere,via LinkedIn,2023-04-19 03:00:18.375131,,"power bi, spreadsheet, excel, sql, flexibility"
Ecommerce Data Analyst,Solomon Page,Anywhere,via LinkedIn,2022-11-10 04:00:24.163456,,"communication, tableau, excel, word, outlook, critical thinking, decision making"
Enterprise Data Governance Analyst,Eliassen Group,Anywhere,via LinkedIn,2022-12-08 04:00:37.094093,,"power bi, sql"
Data Scientist,Eliassen Group,Anywhere,via LinkedIn,2023-04-14 03:00:18.698539,,
Data Governance Analyst -W2 Only,Akkodis,Anywhere,via LinkedIn,2023-02-28 04:00:27.668743,,"communication, go, sql, integrity, t-sql, flexibility"
Data Analyst,Rang Technologies Inc,Anywhere,via LinkedIn,2022-11-23 04:00:13.718900,,"sql, pandas, python"
W2 Position-Looking for Sr.Data Analyst with Python and PySpark...,Confidential,Anywhere,via LinkedIn,2022-12-03 04:00:30.874665,,"python, pyspark"
Telecommunications Data Analyst,Cartesian,Anywhere,via LinkedIn,2022-12-09 04:00:38.006691,,"communication, tableau, sql"
MDM Analyst w / STIBO,USM Business Systems,Anywhere,via LinkedIn,2022-12-14 04:00:38.567793,,azure
Data Analyst - Remote,TMS,Anywhere,via LinkedIn,2022-12-15 04:00:09.995915,,"python, power bi, tableau, qlik, sql, c, spark"
Sr. Inventory Data Analyst,"Aroghia Group, LLC",Anywhere,via LinkedIn,2023-01-13 04:00:36.166364,,"aws, excel, sql"
Electronic Data Interchange Analyst,"Infomatics, Inc",Anywhere,via LinkedIn,2023-02-17 04:00:56.966222,,"communication, initiative, sap"
Business Intelligence Analyst,Insight Global,Anywhere,via LinkedIn,2023-02-18 04:00:23.866607,,"r, python, tableau, sql, alteryx, power bi"
Data Analyst - Health Insurance Experience Required,Aureon Consulting,Anywhere,via LinkedIn,2023-03-07 04:00:48.874412,,"communication, sql, nosql"
Data Analyst - Health Insurance Experience Required,Aureon Consulting,Anywhere,via LinkedIn,2023-03-07 04:00:50.735555,,"communication, sql, nosql"
API Data Analyst,Wise Skulls,Anywhere,via LinkedIn,2023-03-15 03:00:19.786595,,machine learning
Direct client position-Business Data Analyst-Remote,Accion Labs,Anywhere,via LinkedIn,2023-04-25 03:00:19.456049,,"cognos, communication, conflict resolution, interpersonal skills, tableau, qlik, sql, decision making, flexibility, power bi"
Lead Data Quality Analyst,Vector Technologies LLC,Anywhere,via LinkedIn,2023-04-29 03:00:32.704599,,"unix, python, data lakes, tableau, bigquery, shell, redshift, power bi"
Epic Bridges Analyst,ClinDCast,Anywhere,via LinkedIn,2023-05-12 03:00:49.350285,,communication
EDI Analyst,US Tech Solutions,Anywhere,via LinkedIn,2023-02-01 04:01:14.149763,,"communication, flexibility"
Data Analyst,Insight Global,Anywhere,via LinkedIn,2023-03-15 03:00:09.183670,72800.0,"sql, java, sas, tableau, power bi, mongodb, power bi"
Data Analyst,Insight Global,Anywhere,via LinkedIn,2023-04-28 03:00:12.800742,80080.0,
Data Analyst,Agility Partners,Anywhere,via LinkedIn,2022-12-17 04:00:08.256870,93600.0,"sql, accountability, sap, collaboration, flexibility"
Data Analysis Manager,eJAmerica,Anywhere,via LinkedIn,2023-01-19 04:00:51.674414,101920.0,"python, perl, ruby, matlab"
Senior Data Analyst,Insight Global,Anywhere,via LinkedIn,2022-12-22 04:00:18.178754,119600.0,"r, communication, tableau, excel, sql, power bi"
Business Data Analyst,Insight Global,Anywhere,via LinkedIn,2022-11-05 05:00:30.844509,121680.0,sql
Business Data Analyst,Insight Global,Anywhere,via LinkedIn,2022-11-05 05:00:34.417717,121680.0,sql
Ad Ops Data Analyst,AdMedia.,Anywhere,via LinkedIn,2023-03-14 03:00:52.047078,55000.0,excel
Data Analyst I,Trinidad Benham,Anywhere,via LinkedIn,2023-01-06 04:00:45.439284,60000.0,"communication, word, postgresql, tableau, creativity, ssrs, teamwork, excel, sql, outlook, cognos, mssql, snowflake, crystal"
Data Analyst,Esquire Advertising,Anywhere,via LinkedIn,2023-04-04 03:00:38.088491,67500.0,"communication, azure, matplotlib, power bi, tableau, aws, gcp, excel, sql, pandas, python, git, seaborn, jupyter, plotly, selenium"
Data Analyst - Heavy SQL,TECHEAD,Anywhere,via LinkedIn,2022-11-16 04:00:28.366301,82500.0,"detail oriented, communication, excel, sql"
Business Analyst -Data & Governance,Subscribe,Anywhere,via LinkedIn,2023-05-06 03:00:37.441248,80000.0,"azure, power bi, ssrs, excel, word, sql, outlook, integrity"
Data Analyst,Robert Half,United States,via LinkedIn,2023-02-15 04:00:10.999397,90500.0,"r, communication, tableau, decision making, strategic thinking"
Salesforce Data Analyst,FinThrive,Anywhere,via LinkedIn,2023-03-25 03:00:26.553759,92500.0,"communication, c, detail oriented, sharepoint, excel, integrity"
Senior Clarity Business Intelligence Analyst,"Merraine Group, Inc.",Anywhere,via LinkedIn,2023-02-14 04:00:24.389290,97000.0,"sas, communication, tableau, excel, sql"
Data Analyst,MissionStaff,Anywhere,via LinkedIn,2022-12-22 04:00:16.173877,80000.0,"sql, communication, initiative, tableau, power bi"
Fully Remote Marketing Data Analyst,Insight Global,Anywhere,via LinkedIn,2023-05-12 03:00:11.308246,100000.0,
Data Analyst,Venteon,Anywhere,via LinkedIn,2023-02-23 04:00:09.247034,90000.0,
Data Analyst - Healthcare,InvestM Technology LLC,Anywhere,via LinkedIn,2023-01-23 04:00:07.954675,100000.0,"r, python, power bi, tableau, sql"
Data Analyst,Elsdon Consulting ltd,Anywhere,via LinkedIn,2022-12-24 04:00:11.037302,107500.0,"communication, python, tableau, excel, sql, decision making"
Data Reporting Analyst,Insight Global,Anywhere,via LinkedIn,2022-12-22 04:00:31.951545,107500.0,excel
Data Analyst,Averity,Anywhere,via LinkedIn,2022-11-09 04:00:18.888150,120000.0,"go, sql, power bi"
Data Analyst,Storm2,Anywhere,via LinkedIn,2022-11-22 04:00:18.617973,127500.0,"r, python, machine learning, sql"
Data Scientist,Sumner & Scott,United States,via LinkedIn,2023-05-18 04:01:02.550562,155000.0,"java, r, python"
Data Visualization Analyst,Eliassen Group,Anywhere,via LinkedIn,2023-03-03 04:00:24.097898,140000.0,"power bi, tableau, mysql, snowflake, word, sql"
"Senior Analyst, Data Analytics (Product)",Harnham,Anywhere,via LinkedIn,2023-01-06 04:00:47.380243,150000.0,"r, looker, python, tableau, sql, decision making"
Data Scientist,Selby Jennings,United States,via LinkedIn,2023-01-13 04:00:49.439182,187500.0,"r, aws, python, azure, gcp, machine learning, sql, hadoop, spark"
Data Research Analyst,Brillient Corporation,Anywhere,via LinkedIn,2023-04-07 03:00:26.229606,165000.0,communication
Street Homeless Solutions Data Analyst,NYC Department of Social Services,"All, MO",via LinkedIn,2022-12-16 04:00:39.826247,74197.0,initiative
Street Homeless Solutions Data Analyst,NYC Department of Social Services,"All, MO",via LinkedIn,2023-01-02 04:00:26.480957,74197.0,initiative
"Healthcare Data Analyst, Principal",Hennepin County,United States,via LinkedIn,2022-11-08 06:00:32.391461,79809.085,"r, sas, communication, power bi, tableau, spreadsheet, sql, flexibility"
Data Analyst - OTI,TRAJECTORY GLOBAL LIMITED,United States,via LinkedIn,2022-11-06 05:00:15.938385,,integrity
Senior Data Analyst,Continental Resources,"Oklahoma City, OK",via LinkedIn,2022-12-02 04:00:21.644611,,"r, communication, python, spreadsheet, excel, sql, sap, power bi"
Data Scientist,hackajob,United States,via LinkedIn,2022-12-07 04:00:15.905672,,"aws, communication, interpersonal skills, tableau, machine learning, sql"
Lead Data Analyst - Loyalty & Growth,TripActions,"Palo Alto, CA",via LinkedIn,2022-12-08 04:00:34.889199,,"communication, tableau, snowflake, sql, decision making"
"Principal Consultant, Data Analytics and Visualization (Mid-Senior...",ERM,United States,via LinkedIn,2022-12-11 04:00:37.629750,,
Marketing Analytics Manager,American Century Investments,"Kansas City, MO",via LinkedIn,2022-12-11 04:00:42.379969,,"communication, machine learning, critical thinking, r, aws, sql, decision making, python, nosql"
Data Analytics Analyst,Hire Resolve International,"Kansas City, KS",via LinkedIn,2022-12-13 04:00:24.170245,,"power bi, ssis, sql, integrity"
Scientific Data Analyst I,Chenega Professional Services Strategic  Business Unit,United States,via LinkedIn,2022-12-14 04:00:42.549673,,"r, sas, communication, teamwork, excel, word, outlook, critical thinking, sharepoint"
Data Governance Analyst,Honeywell,"Overland Park, KS",via LinkedIn,2022-12-14 04:00:45.013866,,integrity
Data Analyst (Resource Development),Continental Resources,"Oklahoma City, OK",via LinkedIn,2022-12-16 04:00:13.633119,,"communication, spreadsheet, excel, sql, accountability, integrity"
Data Operations Analyst,Epiq,"Overland Park, KS",via LinkedIn,2023-01-01 04:00:16.800166,,"communication, sql, nuix"
"Principal Consultant, Data Analytics and Visualization (Mid-Senior...",ERM,United States,via LinkedIn,2023-01-02 04:00:32.317127,,
Director - Data Analyst #LI-Remote,Transaction Network Services,"Kansas City, KS",via LinkedIn,2023-01-08 04:00:33.854792,,"machine learning, postgresql, mysql, r, linux, sql, unix, python, collaboration, nosql, flexibility"
Data Governance Analyst,City National Bank,United States,via LinkedIn,2023-01-12 04:00:39.080327,,"integrity, collaboration"
Data Integration Lead,Hexaware Technologies,United States,via LinkedIn,2023-01-14 04:01:09.712471,,"shell, unix, aws, flexibility, python, azure"
Senior Data Analyst I,Continental Resources,"Oklahoma City, OK",via LinkedIn,2023-01-14 04:01:13.926057,,"communication, detail oriented, r, sql, accountability, integrity, python, sap, flexibility"
Big Data Lead,Hexaware Technologies,United States,via LinkedIn,2023-01-18 04:00:45.641443,,"azure, ssis, pyspark, flexibility"
Big Data Lead,Hexaware Technologies,United States,via LinkedIn,2023-01-18 04:00:50.824296,,"azure, ssis, pyspark, flexibility"
Data Integration Lead,Hexaware Technologies,United States,via LinkedIn,2023-01-18 04:00:50.824296,,"shell, unix, aws, flexibility, python, azure"
Senior Data Analyst I,Continental Resources,"Oklahoma City, OK",via LinkedIn,2023-01-26 04:00:43.719827,,"communication, detail oriented, r, sql, accountability, integrity, python, alteryx, sap, flexibility"
Power BI - Financial Analyst,White Cap,United States,via LinkedIn,2023-01-28 04:00:47.661772,,"power bi, spreadsheet, integrity"
Data Scientist Technical Specialist,Peraton,United States,via LinkedIn,2023-02-03 04:00:38.462493,,"azure, bash, machine learning, c, spark, java, scala, c++, r, sql, hadoop, python"
"Sr Data Analyst, Global Sourcing",3M,United States,via LinkedIn,2023-02-18 04:00:23.866607,,"communication, c, power bi, java, tableau, r, sql, python, snowflake, sap, flexibility"
Real Estate Data Analyst 1LOD,City National Bank,United States,via LinkedIn,2023-02-19 04:00:10.372684,,"communication, problem solving, excel, accountability, integrity"
Data Analyst (Managed Services Consultant),"DB&A - DeWolff, Boberg & Associates, Inc","Oklahoma City, OK",via LinkedIn,2023-02-21 04:00:31.581018,,"resource management, time management, communication, excel, presentation skills"
